StartTime,EndTime,WordOrder,Filename
"00:00:09,150","00:00:12,000",3,'tree'.mp4
"00:00:13,800","00:00:16,750",1,'rose'.mp4
"00:00:35,250","00:00:37,850",4,'sky'.mp4
"00:00:39,850","00:00:42,850",0,'White'.mp4
"00:00:46,850","00:00:48,150",1,'dark'.mp4
"00:01:06,000","00:01:08,050",4,'sky'.mp4
"00:01:15,450","00:01:19,550",2,'friend'.mp4
"00:01:15,450","00:01:19,550",4,'hand'.mp4
"00:01:29,950","00:01:31,150",2,'baby'.mp4
"00:00:09,150","00:00:12,000",1,'see'.mp4
"00:00:17,000","00:00:19,600",1,'see'.mp4
"00:00:23,120","00:00:25,920",2,'think'.mp4
"00:00:23,120","00:00:25,920",4,'myself'.mp4
"00:00:35,250","00:00:37,850",1,'see'.mp4
"00:00:50,350","00:00:52,750",2,'think'.mp4
"00:00:50,350","00:00:52,750",4,'myself'.mp4
"00:01:15,450","00:01:19,550",1,'see'.mp4
"00:01:15,450","00:01:19,550",3,'shake'.mp4
"00:01:26,050","00:01:27,350",2,'love'.mp4
"00:01:29,950","00:01:31,150",1,'hear'.mp4
"00:01:33,850","00:01:35,550",1,'watch'.mp4
"00:01:33,850","00:01:35,550",3,'grow'.mp4
"00:01:39,650","00:01:41,250",3,'know'.mp4
"00:01:42,750","00:01:44,250",2,'think'.mp4
"00:01:42,750","00:01:44,250",4,'myself'.mp4
"00:00:43,050","00:00:44,850",1,'bright'.mp4
